constitution_id,year_th,year_ce,name_short,era,regime_type,chapter_number,chapter_title,section_number,section_text
const_2511,2511,1968,Constitution 2511,,,0,บททั่วไป,1,ประเทศไทยเป็นราชอาณาจักรอันหนึ่งอันเดียว จะแบ่งแยกมิได้
const_2511,2511,1968,Constitution 2511,,,0,บททั่วไป,2,ประเทศไทยมีการปกครองระบอบประชาธิปไตย มีพระมหากษัตริย์เป็นประมุข
const_2511,2511,1968,Constitution 2511,,,0,บททั่วไป,3,อำนาจอธิปไตยมาจากปวงชนชาวไทย พระ มหากษัตริย์ผู้เป็นประมุขทรงใช้อำนาจนั้นแต่โดยบทบัญญัติแห่ง รัฐธรรมนูญ
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,4,องค์พระมหากษัตริย์ดำรงอยู่ในฐานะอันเป็นที่ เคารพสักการะ ผู้ใดจะละเมิดมิได้
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,5,ผู้ใดจะกล่าวหาหรือฟ้องร้องพระมหากษัตริย์ใน ทางใด ๆ มิได้ ฉบับพิเศษ หน้า 9 เล่ม 85 ตอนพิเศษ ราชกิจจานุเบกษา 20 มิถุนายน 2511
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,6,พระมหากษัตริย์ทรงเป็นพุทธมามกะ และทรงเป็นอัครศาสนูปถัมภก
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,7,พระมหากษัตริย์ทรงใช้อำนาจนิติบัญญัติทางรัฐสภา
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,8,พระมหากษัตริย์ทรงใช้อำนาจบวิหารทางคณะรัฐมนตรี
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,9,พระมหากษัตริย์ทรงใช้อำนาจตุลาการทางศาล
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,10,พระมหากษัตริย์ทรงดำรงตำแหน่งจอมทัพไทย
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,11,พระมหากษัตริย์ทรงไว้ซึ่งพระราชอำนาจที่จะสถาปนาฐานันดรศักดิ์ และพระราชทานเครื่องราชอิสริยาภรณ์
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,12,พระมหากษัตริย์ทรงเลือกและแต่งตั้งผู้ทรงคุณวุฒิเป็นประธานองคมนตรีคนหนึ่ง และองคมนตรีอื่นอีกไม่มากกว่าแปดคน ประกอบเป็นคณะองคมนตรี คณะองคมนตรีมีหน้าที่ถวายความเห็นต่อพระมหากษัตริย์ในพระราชกรณียกิจทั้งปวงที่พระมหากษัตริย์ทรงปรึกษา และมีหน้าที่อื่นตามที่บัญญัติในรัฐธรรมนูญนี้
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,13,การเลือกและแต่งตั้งองคมนตรีก็ดี การให้องคมนตรีพ้นจากตำแหน่งก็ดี ให้เป็นไปตามพระราชอัธยาศัย ฉบับพิเศษ หน้า 10 เล่ม 85 ตอนพิเศษ ราชกิจจานุเบกษา 20 มิถุนายน 2511 ให้ประธานรัฐสภาเป็นผู้ลงนามรับสนองพระบรมราชโองการแต่งตั้งประธานองคมนตรีหรือให้ประธานองคมนตรีพ้นจากตำแหน่ง และให้ประธานองคมนตรีเป็นผู้ลงนามรับสนองพระบรมราชโองการแต่งตั้งองคมนตรีอื่นหรือให้องคมนตรีอื่นพ้นจากตำแหน่ง
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,14,องคมนตรีต้องไม่เป็นข้าราชการประจำ รัฐมนตรี หรือข้าราชการการเมืองอื่น สมาชิกวุฒิสภา สภาชิคสภาผู้แทน หรือสมาชิกหรือเจ้าหน้าที่ในพรรคการเมือง และต้องไม่แสดงการฝึกใฝ่ในพรรคการเมืองใด ๆ
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,15,"ก่อนเข้ารับหน้าที่ องคมนตรีต้องถวายสัตย์ปฏิญาณต่อพระมหากษัตริย์ ด้วยถ้อยคำดังต่อไปนี้ ""ข้าพระพุทธเจ้า ( ชื่อผู้ปฏิญาณ ) ขอถวายสัตย์ปฏิญาณว่า ข้าพระพุทธเจ้าจะจงรักภักดีต่อพระมหากษัตริย์ และจะปฏิบัติหน้าที่ด้วยความซื่อสัตย์สุจริต เพื่อประโยชน์ของประเทศและประชาชน ทั้งจะรักษาไว้และปฏิบัติตามซึ่งรัฐธรรมนูญแห่งราชอาณาจักรไทยทุกประการ """
const_2511,2511,1968,Constitution 2511,,,2,พระมหากษัตริย์,16,องคมนตรีพ้นจากตำแหน่งเมื่อตาย ลาออก หรือมีพระบรมราชโองการให้พ้นจากตำแหน่ง ฉบับพิเศษ หน้า 11 เล่ม 85 ตอนพิเศษ ราชกิจจานุเบกษา 20 มิถุนายน 2511
