source_theme,target_theme,weight
นิติบัญญัติ,สถาบันพระมหากษัตริย์,120
นิติบัญญัติ,บริหาร,102
สิทธิ-เสรีภาพ-หน้าที่,แนวนโยบายแห่งรัฐ,82
นิติบัญญัติ,สิทธิ-เสรีภาพ-หน้าที่,43
บริหาร,สถาบันพระมหากษัตริย์,43
ตุลาการ,สิทธิ-เสรีภาพ-หน้าที่,33
ตุลาการ,สถาบันพระมหากษัตริย์,24
ตุลาการ,นิติบัญญัติ,24
บริหาร,สิทธิ-เสรีภาพ-หน้าที่,17
สถาบันพระมหากษัตริย์,แนวนโยบายแห่งรัฐ,13
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,สถาบันพระมหากษัตริย์,13
ตุลาการ,บริหาร,12
บริหาร,แนวนโยบายแห่งรัฐ,12
ท้องถิ่น,แนวนโยบายแห่งรัฐ,11
การมีส่วนร่วมทางการเมือง,สิทธิ-เสรีภาพ-หน้าที่,9
จริยธรรมทางการเมือง,แนวนโยบายแห่งรัฐ,8
นิติบัญญัติ,แนวนโยบายแห่งรัฐ,8
ท้องถิ่น,นิติบัญญัติ,6
สถาบันพระมหากษัตริย์,สิทธิ-เสรีภาพ-หน้าที่,6
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,แนวนโยบายแห่งรัฐ,5
การมีส่วนร่วมทางการเมือง,สถาบันพระมหากษัตริย์,4
ตุลาการ,ท้องถิ่น,4
การมีส่วนร่วมทางการเมือง,บริหาร,4
ท้องถิ่น,สิทธิ-เสรีภาพ-หน้าที่,3
นิติบัญญัติ,อื่น ๆ (emergent),3
บริหาร,อื่น ๆ (emergent),3
ท้องถิ่น,บริหาร,3
อื่น ๆ (emergent),แนวนโยบายแห่งรัฐ,3
การคลังและงบประมาณ,นิติบัญญัติ,3
ตุลาการ,แนวนโยบายแห่งรัฐ,2
สิทธิ-เสรีภาพ-หน้าที่,อื่น ๆ (emergent),2
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,นิติบัญญัติ,2
สถาบันพระมหากษัตริย์,อื่น ๆ (emergent),2
จริยธรรมทางการเมือง,นิติบัญญัติ,2
การมีส่วนร่วมทางการเมือง,แนวนโยบายแห่งรัฐ,1
การคลังและงบประมาณ,บริหาร,1
การมีส่วนร่วมทางการเมือง,นิติบัญญัติ,1
การมีส่วนร่วมทางการเมือง,อื่น ๆ (emergent),1
จริยธรรมทางการเมือง,ท้องถิ่น,1
จริยธรรมทางการเมือง,ตุลาการ,1
ท้องถิ่น,สถาบันพระมหากษัตริย์,1
จริยธรรมทางการเมือง,สิทธิ-เสรีภาพ-หน้าที่,1
จริยธรรมทางการเมือง,อื่น ๆ (emergent),1
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,สิทธิ-เสรีภาพ-หน้าที่,1
การคลังและงบประมาณ,ตุลาการ,1
ตุลาการ,อื่น ๆ (emergent),1
การคลังและงบประมาณ,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,1
