topic,topic_repr,assigned_theme,theme_match_score
0,ศาลฎีกา ผู้ดํารงตําแหน่ง ไต่สวน ยื่น อัยการ กล่าวหา ทรัพย์สิน หนี้สิน เงินแผ่นดิน เมือง,ตุลาการ,1
1,สิทธิ เจ้าพนักงาน ท้องถิ่น เรื่องราว ทุกข์ วิธี นิติบุคคล บุคคล คณะตุลาการรัฐธรรมนูญ หลัก,สิทธิ-เสรีภาพ-หน้าที่,1
2,ว่าง แทน อายุ สภาผู้แทนราษฎร ร้อย ตำแหน่ง สมาชิก สลาก ตําแหน่ง ร้อยแปด,นิติบัญญัติ,1
3,วินิจฉัย คณะตุลาการรัฐธรรมนูญ ร้อง แย้ง ข้อความ ศาลรัฐธรรมนูญ แจ้ง สมาชิก ขัด สมาชิกภาพ,ตุลาการ,2
4,สรรหา กรรมการ เงินแผ่นดิน เลือก คน ตรวจ คัดเลือก จํานวน ศาลฎีกา ประจักษ์,ตุลาการ,1
5,สนอง ประเภท ธรรมนูญ พิบูลสงคราม พระบรมราชโองการ ยกเลิก หมายเหตุ ปกครอง ราชอาณาจักร กาล,อื่น ๆ (emergent),0
6,จอมทัพ เคารพ ละเมิด ดำรง ฐานะ ไทย กำเนิด เสมอ พระมหากษัตริย์ องค์,สถาบันพระมหากษัตริย์,1
7,คุก ตาย ลา ห้าม ลักษณะ ประมาท คุณสมบัติ โทษ สิ้นสุด พิพากษา,อื่น ๆ (emergent),0
8,พระองค์ สำเร็จ องคมนตรี แทน สําเร็จ ราชการ ชั่วคราว สืบ พลาง ราชสันตติวงศ์,สถาบันพระมหากษัตริย์,1
9,ศาลปกครอง ศาลยุติธรรม เลื่อน ตุลาการ กรรมการ ศาล ศาลทหาร เดือน เลขาธิการ พิพากษา,ตุลาการ,3
10,พัฒนา ส่งเสริม ระบบ สนับสนุน กลไก ประสิทธิภาพ ประชาชน เศรษฐกิจ รัฐ สังคม,สิทธิ-เสรีภาพ-หน้าที่,1
11,ตีความ เสียง รัฐสภา สอง คะแนน สงคราม มติ จำนวน ชี้ขาด ประชุม,แนวนโยบายแห่งรัฐ,1
12,เสรีภาพ หนังสือพิมพ์ จำกัด เกียรติยศ ชื่อเสียง สัญชาติ ราชอาณาจักร พิมพ์ สวัสดิภาพ อาศัย,สิทธิ-เสรีภาพ-หน้าที่,1
13,ศาลรัฐธรรมนูญ วินิจฉัย ปัญหา ประเพณี คําวินิจฉัย ชี้ขาด ศาลปกครอง เรื่อง วง พิจารณา,ตุลาการ,3
14,คุมขัง อาญา หา จำเลย คดี ศาล ตัว ประกัน ทนายความ ค้น,ตุลาการ,1
15,เกษตรกร แรงงาน ส่งเสริม มูลค่า ผลิต เกษตรกรรม น้ำ รัฐ ที่ดิน โรค,แนวนโยบายแห่งรัฐ,1
16,ปล่อย สอบสวน สั่ง ฟ้อง คดี ศาล อนุญาต สภา ขัดขวาง คุมขัง,ตุลาการ,1
17,ประชุม ลับ จำนวน ต่ำ องค์ประชุม ร้องขอ องค์ สภา กรรมาธิการ กึ่ง,อื่น ๆ (emergent),0
18,ระบอบ ประชาธิปไตย ประมุข ปกครอง อันมีพระมหากษัตริย์ทรงเป็นประมุข ประเทศไทย ศาสนา พระมหากษัตริย์ รักษา เอกราช,สถาบันพระมหากษัตริย์,1
19,ค้าน แต่งตั้ง สภานิติบัญญัติแห่งชาติ สังกัด รัฐมนตรี ตำแหน่ง นาม สภาผู้แทนราษฎร รับสนอง พรรค,แนวนโยบายแห่งรัฐ,1
20,รัฐมนตรี นายก รับสนอง นาม แต่งตั้ง พระบรมราชโองการ คน ชาติ พระมหากษัตริย์ บริหาร,บริหาร,2
21,สมัคร บัญชี เลือกตั้ง พรรค เขต ชื่อ เมือง สัดส่วน คะแนน แบ่ง,อื่น ๆ (emergent),0
22,อัยการศึก กฎ ฉุกเฉิน ชุมนุม รบ ภาวะ สถานการณ์ สงคราม สาธารณะ เวลา,อื่น ๆ (emergent),0
23,สภาผู้แทน เท่าเทียม เสมอ ศิลปะ วัฒนธรรม สังคมสงเคราะห์ ส่งเสริม สนับสนุน รักษา ไว้วางใจ,อื่น ๆ (emergent),0
24,นานา สัมพันธไมตรี เสมอภาค ยุติธรรม ส่งเสริม รัฐ ประเทศ สังคมสงเคราะห์ สันติสุข โลก,แนวนโยบายแห่งรัฐ,1
25,คดี ฐาน โทษ ศาล หนัก พิพากษา หา สำหรับ ธรรมดา ธรรมนูญ,ตุลาการ,1
26,สัญชาติ บ้าน ไทย ทะเบียน สมัคร คุณสมบัติ เลือกตั้ง ต่ำ ติดต่อ ปี,อื่น ๆ (emergent),0
27,ปลัด พลเรือน กระทรวง อธิบดี เทียบเท่า พ้น พระราชอัธยาศัย ทหาร ตาย ตำแหน่ง,อื่น ๆ (emergent),0
28,ครอบครัว อบรม บุคคล เงื่อนไข ศึกษา คุ้มครอง ประถม สงวน แหน่ง ตํา,อื่น ๆ (emergent),0
29,พระราชอำนาจ พระราชกฤษฎีกา ขัด ตรา พระมหากษัตริย์ อัยย พระราชอํานาจ กฎ ศึก แนะนํา,สถาบันพระมหากษัตริย์,1
30,ประธาน รอง รัฐสภา กิจการ มอบหมาย อำนาจ ดำเนิน แทน วุฒิสภา ทำ,นิติบัญญัติ,2
31,รอง ประธาน สภา คน มติ สภาผู้ พระมหากษัตริย์ วุฒิสภา ประชุม แต่งตั้ง,สถาบันพระมหากษัตริย์,1
