theme,n_sections,n_constitutions,avg_theme_score,coverage_ratio,stable_score
บริหาร,730,38,0.4644237590145864,1.0,0.8393271277043759
สถาบันพระมหากษัตริย์,741,36,0.5838155184299054,0.9473684210526315,0.8383025502658137
แนวนโยบายแห่งรัฐ,612,36,0.52437768265521,0.9473684210526315,0.8204711995334051
นิติบัญญัติ,1257,33,0.5704983103503003,0.868421052631579,0.7790442299471954
พรรคการเมืองและการเลือกตั้ง,428,28,0.373136004866496,0.7368421052631579,0.6277302751441592
สิทธิ-เสรีภาพ-หน้าที่,662,25,0.45811381250767047,0.6578947368421053,0.5979604595417748
อื่น ๆ (emergent),19,16,1.0,0.42105263157894735,0.5947368421052631
ตุลาการ,427,22,0.538033345628952,0.5789473684210527,0.5666731615834224
ท้องถิ่น,178,15,0.43259383523692935,0.39473684210526316,0.40609394004476296
จริยธรรมทางการเมือง,98,13,0.4457240185281308,0.34210526315789475,0.37319088976896553
การคลังและงบประมาณ,91,14,0.35574433531485705,0.3684210526315789,0.36461803743656235
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,137,14,0.3125924680197044,0.3684210526315789,0.35167247724801654
ปฏิรูปประเทศ,2,2,1.0,0.05263157894736842,0.3368421052631579
ทั่วไป/โครงสร้าง,31,10,0.42289450535145195,0.2631578947368421,0.311078877921225
การมีส่วนร่วมทางการเมือง,46,10,0.34777562522307226,0.2631578947368421,0.28854321388271115
องค์กรอิสระ/องค์กรตามรัฐธรรมนูญ,19,7,0.4013725670809127,0.18421052631578946,0.24935913854532643
