section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,sub_section_number,sub_section_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2489_s_1,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,0,บททั่วไป,,,1,content,,,content,ประเทศไทยเป็นราชอาณาจักรอันหนึ่งอันเดียว จะแบ่งแยกมิได้ ประชาชนชาวไทยไม่ว่าแห่งกำเนิดหรือศาสนาใด ย่อมอยู่ในความคุ้มครองแห่งรัฐธรรมนูญนี้เสมอกัน
const_2489_s_2,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,0,บททั่วไป,,,2,content,,,content,อำนาจอธิปไตยย่อมมาจากปวงชนชาวไทย พระมหากษัตริย์ผู้เป็นประมุขทรงใช้อำนาจนั้นแต่โดยบทบัญญัติแห่งรัฐธรรมนูญนี้
const_2489_s_3,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,1,พระมหากษัตริย์,,,3,content,,,content,องค์พระมหากษัตริย์ดำรงอยู่ในฐานะอันเป็นที่เคารพเคารพผู้ใดจะละเมิดมิได้
const_2489_s_4,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,1,พระมหากษัตริย์,,,4,content,,,content,พระมหากษัตริย์ต้องทรงเป็นพุทธมามกะ และทรงเป็นอัครศาสนูปถัมภก
const_2489_s_5,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,1,พระมหากษัตริย์,,,5,content,,,content,พระมหากษัตริย์ทรงดำรงตำแหน่งจอมทัพไทย
const_2489_s_6,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,1,พระมหากษัตริย์,,,6,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจนี้ให้บัญญัติทางรัฐสภา
const_2489_s_7,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,1,พระมหากษัตริย์,,,7,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจบริหารทางคณะรัฐมนตรี
const_2489_s_8,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,1,พระมหากษัตริย์,,,8,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจดูแลการทางศาล
const_2489_s_9,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,1,พระมหากษัตริย์,,,9,content,,,content,การสืบราชสมบัติให้เป็นไปโดยนัยแห่งกฎมณเฑียรบาลว่าด้วยการสืบราชสันตติวงศ์ พรบพุทธศักราช 2467 และประกอบด้วยความเห็นชอบของรัฐสภา
const_2489_s_10,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,1,พระมหากษัตริย์,,,10,content,,,content,ในเมื่อพระมหากษัตริย์จะไม่ประทับอยู่ในราชอาณาจักร หรือด้วยเหตุใดเหตุหนึ่งจะทรงทหารพระราชภาระไม่ได้ จะได้ทรงตั้งบุคคลหนึ่งหรือหลายคนเป็นคณะขึ้นให้เป็นผู้สำเร็จราชการแทนพระองค์ ด้วยความเห็นชอบของรัฐสภา ถ้าหากพระมหากษัตริย์มีต้องทรงตั้งหรือไม่สามารถจะทรงตั้งได้ ให้รัฐสภาปรึกษาท่านขึ้น และในระหว่างที่รัฐสภายังมิได้ตั้งผู้ใด ให้สมาชิกสภาผู้มีอายุสูงสุดสามคน ประกอบเป็นคณะผู้สำเร็จราชการแทนพระองค์ขึ้นชั่วคราว
const_2489_s_11,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,1,พระมหากษัตริย์,,,11,content,,,content,ในกรณีที่ราชบัลลังก์หากว่างลง และมิได้มีผู้สำเร็จราชการแทนพระองค์ตั้งไว้ตามความในมาตรา 10 ให้สมาชิกพฤษสภาผู้มีอายุสูงสุดสามคนประกอบเป็นคณะผู้สำเร็จราชการแทนพระองค์ชั้นชั่วคราว
const_2489_s_12,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,2,สิทธิและหน้าที่ของชนชาวไทย,,,12,content,,,content,บุคคลย่อมมีฐานะเสมอกันตามกฎหมายฐานันดรศักดิ์โดยกำเนิดก็ดี โดยแต่งตั้งก็ดี หรือโดยประการอื่นใดก็ดี ไม่กระทำให้เกิดเอกสิทธิอย่างใดเลย
const_2489_s_13,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,2,สิทธิและหน้าที่ของชนชาวไทย,,,13,content,,,content,บุคคลย่อมมีเสรีภาพบริบูรณ์ในการถือศาสนา หรือลัทธินิยมใด ๆ และย่อมมีเสรีภาพในการปฏิบัติพิธีกรรมตามความเชื่อถือของตน เมื่อไม่เป็นปฏิบัติการต่อหน้าที่ของพลเมือง และไม่เป็นการขัดต่อกวางสงบร้อยหรือศีลธรรมของประชาชน
const_2489_s_14,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,2,สิทธิและหน้าที่ของชนชาวไทย,,,14,content,,,content,บุคคลย่อมมีเสรีภาพบริบูรณ์ในร่างกาย เตหะสถาน ทรัพย์สิน การพูด การเขียน การพิมพ์ การ โฆษณา การศึกษาอบรม การชุมนุมสาธารณะ การค้ำสมาคม การตั้งคณะพรรคการเมือง ภาษาชีพ ทั้งนี้ภายใต้บังคับแห่งบทกฎหมาย
const_2489_s_15,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,2,สิทธิและหน้าที่ของชนชาวไทย,,,15,content,,,content,บุคคลไม่มีสิทธิเสนอเรื่องราวร้องทุกข์ภายในเงื่อนไขและวิธีการที่อธิบายบัญญัติ
const_2489_s_16,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,2,สิทธิและหน้าที่ของชนชาวไทย,,,16,content,,,content,บุคคลมีหน้าที่การพูดจาหยาบ และมีหน้าที่ป้องกันประเทศ เช่น เมื่อราชอาณาจักรเสียภาษีและอื่น ๆ ภายในเงื่อนไข และโดยวิธีการที่อธิบายบัญญัติ
const_2489_s_17,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,3,อำนาจนิติบัญญัติ,1,บททั่วไป,17,content,,,content,รัฐสภาประกอบด้วยพฤฒสภา และวุฒิสภาผู้แทนไม่ว่าจะประชุมแยกกันหรือรวมกัน
const_2489_s_18,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,3,อำนาจนิติบัญญัติ,1,บททั่วไป,18,content,,,content,ร่างพระราชบัญญัติทั้งหลายจะตราขึ้นเป็นกฎหมายได้แต่โดยคำแนะนำและยินยอมของรัฐสภา
const_2489_s_19,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,3,อำนาจนิติบัญญัติ,1,บททั่วไป,19,content,,,content,การตราพระราชบัญญัติขึ้นเป็นกฎหมายให้มีผลย้อนหลังเป็นการลงโทษบุคคลในทางอาญาพ้น จะกระทำมิได้
const_2489_s_20,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,3,อำนาจนิติบัญญัติ,1,บททั่วไป,20,content,,,content,ร่างพระราชบัญญัติซึ่งรัฐสภาได้ทำขึ้นเสร็จแล้ว ให้นายกรัฐมนตรีนำขึ้นทูลเกล้า ฯ ถวาย เพื่อพระมหาภารณีย์ทรงลงพระปรมาภิไธ และเมื่อได้ประกาศในราชกิจจานุเบกษาแล้ว ให้ใช้บังคับเป็นกฎหมายได้
const_2489_s_21,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,3,อำนาจนิติบัญญัติ,1,บททั่วไป,21,content,,,content,ถ้าพระมหากษัตริย์ไม่ทรงเห็นชอบด้วยร่างพระราชบัญญัตินั้น จะได้ชำระราชทานคืนมายังรัฐสภาภายในหนึ่งเดือน นับแต่วันที่นายกรัฐมนตรีนำขึ้นทูลเกล้า ฯ ถวาย ก็ดี หรือมิได้พระราชทานคืนมายังรัฐสภาภายในหนึ่งเดือนนั้นก็ดี รัฐสภาจะต้องปรึกษากันใหม่ ถ้ารัฐสภาลงมติยืนยันตามความ ให้นายกรัฐมนตรีนำร่างพระราชบัญญัตินั้นขึ้นทูลเกล้า ฯ ถวายอีกครั้งหนึ่ง เมื่อพระมหากษัตริย์มิได้ทรงลงพระปรมาภิไธพระราชทานลงมาภายในสิบห้าวันแล้ว ให้นายกรัฐมนตรีนำพระราชบัญญัตินั้นประกาศในราชกิจจานุเบกษาให้บังคับเป็นกฎหมายได้
const_2489_s_22,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,3,อำนาจนิติบัญญัติ,1,บททั่วไป,22,content,,,content,ร่างพระราชบัญญัติทั้งหลายจะเสนอมาจาก คณะรัฐมนตรี หรือจากสมาชิกสภาผู้แทนก็ได้
const_2489_s_23,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,3,อำนาจนิติบัญญัติ,1,บททั่วไป,23,content,,,content,บุคคลใดจะเป็นสมาชิกพฤษฎหสภาและสภา ผู้แทนในขณะเดียวกันไม่ได้
const_2489_s_24,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,3,อำนาจนิติบัญญัติ,2,พฤฆสภา,24,content,,,content,พฤฒสภาประกอบด้วยสมาชิกที่ราษฎรเลือก ตั้งมีจำนวนแปดสิบคน สมาชิกพฤฒสภาต้องไม่เป็นข้าราชการประจำ การเลือกตั้งสมาชิกพฤฒสภา ให้ใช้วิธีลงคะแนนออก เสียงโดยทางอ้อม และลับ
const_2489_s_25,const_2489,full,2489,1946,Constitution 2489,early_democracy,civilian,,3,อำนาจนิติบัญญัติ,2,พฤฆสภา,25,content,,,content,คุณสมบัติของผู้สมัครรับเลือกตั้งพฤฒสภา นี้อีกทั้งหลักเกณฑ์และวิธีการเลือกตั้ง ให้เป็นไปตามกฎหมาย ที่ศึกษา สังกัดตั้งสมาชิกพฤฒสภา แต่ผู้สมัครรับเลือกตั้ง อย่างน้อยจะต้องมีอายุไม่ต่ำกว่าสี่สิบปีบริบูรณ์ และมีทรัพย์ สินไม่ต่ำกว่าปริญญาตรีหรือเทียบเท่ามาแล้วไม่ต่ำกว่าห้าปี หรือเทียบก่า หรือเคยเป็นสมาชิกสภาผู้แทนหรือสมาชิก สภาผู้แทนราษฎรมาแล้ว
