section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,sub_section_number,sub_section_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2490a_s_1,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,0,บททั่วไป,,,1,content,,,content,ประเทศไทย เป็น ราชอาณาจักร อันหนึ่งอันเดียวจะแบ่งแยกมิได้ ประชาชนชาวไทยไม่ว่าเหล่ากำเนิดหรือศาสนาใดย่อมอยู่ในความคุ้มครองแห่งรัฐธรรมนูญนี้เสมอ กัน
const_2490a_s_2,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,0,บททั่วไป,,,2,content,,,content,อำนาจอธิปไตยย่อมมาจากปวงชนชาวไทย พระมหากษัตริย์ผู้เป็นประมุขทรงใช้อำนาจนั้น แต่โดยบทบัญญัติแห่งรัฐธรรมนูญนี้
const_2490a_s_3,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,3,content,,,content,องค์พระมหากษัตริย์ ดำรงอยู่ในฐานะอันเป็นที่เคารพสักการะ ผู้ใดจะละเมิดมิได้
const_2490a_s_4,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,4,content,,,content,พระมหากษัตริย์ทรงเป็นพุทธมามกะและทรงเป็นอัครศาสนูปถัมภก
const_2490a_s_5,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,5,content,,,content,พระมหากษัตริย์ทรงดำรงตำแหน่งจอมทัพไทย
const_2490a_s_6,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,6,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจนิติบัญญัติทางรัฐสภา และทรงประกาศแต่งตั้งสมาชิกวุฒิสภา
const_2490a_s_7,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,7,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจบวิหารราชการแผ่นดินทางคณะรัฐมนตรี และทรงประกาศแต่งตั้งนายกรัฐมนตรี
const_2490a_s_8,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,8,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจตุลาการทางศาล
const_2490a_s_9,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,9,content,,,content,พระมหากษัตริย์ทรงแต่งตั้งอภิรัฐมนตรีเป็น ตำแหน่งสำหรับถวายคำปรึกษาในราชการแผ่นดิน
const_2490a_s_10,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,10,content,,,content,ในเมื่อพระมหากษัตริย์จะไม่ประทับอยู่ใน ราชอาณาจักรหรือด้วยเหตุใดเหตุหนึ่งจะทรงบริหารพระราช ภาระไม่ได้ จะได้แต่งตั้งอภิรัฐมนตรีขึ้นเป็นผู้สำเร็จราชการ แทนพระองค์ ถ้าพระมหากษัตริยมิได้ทรงตั้งหรือไม่สามารถ จะทรงตั้งได้ ก็ให้คณะอภิรัฐมนตรีเข้าบริหารราชการแผ่นดิน ในหน้าที่คณะผู้สำเร็จราชการแทนพระองค์ทันที
const_2490a_s_11,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,11,content,,,content,ในกรณีที่ราชบัลลังก์ว่างลง และมิได้มี ผู้สำเร็จราชการแทนพร องค์ตามความในมาตรา 10 ก็ให้ คณะอภิรัฐมนตรีเข้าบริหารราชการแผ่นดินในหน้าที่ผู้สำเร็จ ราชการแทนพระองค์ชั่วคราว จนกว่าจะได้ประกาศแต่งตั้ง ผู้สืบสันตติวงศ์ในหน้าที่พระมหากษัตริย์ต่อไป
const_2490a_s_12,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,1,พระมหากษัตริย์,,,12,content,,,content,การสืบราชสมบัติให้เป็นไปโดยนัยแห่ง กฎมณเทียรบาลว่าด้วยการสืบสันตติวงศ์ พระพุทธศักราช 2467 และประกอบด้วยความเห็นชอบของรัฐสภา
const_2490a_s_13,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,2,อภิรัฐมนตรี,,,13,content,,,content,อภิรัฐมนตรีเป็นตำแหน่งประจำมีห้านาย เป็นผู้บริหารราชการในพระองค์ และถวายคำปรึกษาแต่ พระมหากษัตริย์
const_2490a_s_14,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,2,อภิรัฐมนตรี,,,14,content,,,content,อภิรัฐมนตรีเป็นที่ปรึกษาของพระมหากษัตริย์ด้วยการถวายความเห็นโดยชอบและถูกต้อง เพื่อ ประโยชน์แก่ประเทศชาติทุกสาขา
const_2490a_s_15,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,2,อภิรัฐมนตรี,,,15,content,,,content,ในคณะอภิรัฐมนตรีจะทรงพระกรุณา แต่งตั้งผู้อาวุโสเป็นประธานคณะหนึ่งนาย
const_2490a_s_16,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,2,อภิรัฐมนตรี,,,16,content,,,content,อภิรัฐมนตรีจะพ้นหน้าที่ต่อเมื่อ ลาออก ทุพพลภาพ หรือตาย
const_2490a_s_17,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,2,อภิรัฐมนตรี,,,17,content,,,content,เมื่อตำแหน่งอภิรัฐมนตรีว่างลงจะได้มี พระบรมราชโองการแต่งตั้งแทน อย่างน้อยผู้ที่ได้รับการแต่ง ตั้งแทน จะต้องมีคุณสมบัติ เป็นผู้รับราชการประจำมา แล้วไม่น้อยกว่า 25 ปี และเคยรับราชการอย่างต่ำตำแหน่ง อธิบดี หรือเคยเป็นรัฐมนตรีว่าการกระทรวงมาแล้วไม่น้อย กว่า 4 ปี
const_2490a_s_18,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,2,อภิรัฐมนตรี,,,18,content,,,content,คณะอภิรัฐมนตรีมีหน่วยราชการขึ้นอยู่ ตามที่จะมีประกาศเป็นพระราชกฤษฎีกา
const_2490a_s_19,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,2,อภิรัฐมนตรี,,,19,content,,,content,ประธานคณะอภิรัฐมนตรีจะได้มอบหมาย ให้อภิรัฐมนตรีคนใดบัญชาหน่วยราชการที่กำหนดตาม พระราชกฤษฎีกา
const_2490a_s_20,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,2,อภิรัฐมนตรี,,,20,content,,,content,การบรรจุ การแต่งตั้ง การถอดถอน การลงโทษ การกำหนดคุณสมบัติข้าราชการ ให้เป็นไป โดยกฎหมาย
const_2490a_s_21,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,3,สิทธิและหน้าที่ของชนชาวไทย,,,21,content,,,content,บุคคลย่อมมีฐานะเสมอกันตามกฎหมาย ฐานันดรศักดิ์ โดยกำเนิดก็ดี โดยแต่งตั้งก็ดี หรือโดย ประการอื่นก็ดี ไม่กระทำให้เกิดเอกสิทธิอย่างใดเลย
const_2490a_s_22,const_2490a,interim,2490,1947,Constitution 2490 (interim),post_coup_1947,military,,3,สิทธิและหน้าที่ของชนชาวไทย,,,22,content,,,content,บุคคลย่อมมีเสรีภาพบริบูรณ์ในการถือศาสนา หรือลัทธินิยมใด ๆ และย่อมมีเสรีภาพในการปฏิบัติพิธีกรรม ตามความเชื่อถือของคน เมื่อไม่เป็นปฏิบัติษัทต่อหน้าที่ของพลเมือง และไม่เป็นการขัดต่อความสงบเรียบร้อยหรือศีลธรรมอันดีของประชาชน
