section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2534b_s_1,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,0,บททั่วไป,1,content,,,content,ประเทศไทยเป็นราชอาณาจักรอันหนึ่งอันเดียว จะแบ่งแยกมิได้
const_2534b_s_2,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,0,บททั่วไป,2,content,,,content,ประเทศไทยมีการปกครองระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข ห้องสมุดกฎหมาย
const_2534b_s_3,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,0,บททั่วไป,3,content,,,content,อำนาจอธิปไตยมาจากปวงชนชาวไทย พระมหากษัตริย์ผู้ทรงเป็นประมุขทรงใช้อำนาจนั้นทางรัฐสภา คณะรัฐมนตรีและศาลตามบทบัญญัติแห่งรัฐธรรมนูญนี้
const_2534b_s_4,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,0,บททั่วไป,4,content,,,content,ประชาชนชาวไทยไม่ว่าเหล่ากำเนิดหรือศาสนาใดย่อมอยู่ในความคุ้มครองแห่งรัฐธรรมนูญนี้เสมอกัน
const_2534b_s_5,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,0,บททั่วไป,5,content,,,content,บทบัญญัติแห่งกฎหมายใดมีข้อความขัดหรือแย้งต่อรัฐธรรมนูญนี้ บทบัญญัตินั้นเป็นอันใช้บังคับมิได้
const_2534b_s_6,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,2,พระมหากษัตริย์,6,content,,,content,องค์พระมหากษัตริย์ทรงดำรงอยู่ในฐานะอันเป็นที่เคารพสักการะ ผู้ใดจะละเมิดมิได้ ผู้ใดจะกล่าวหาหรือฟ้องร้องพระมหากษัตริย์ในทางใด ๆ มิได้
const_2534b_s_7,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,2,พระมหากษัตริย์,7,content,,,content,พระมหากษัตริย์ทรงเป็นพุทธมามกะ และทรงเป็นอัครศาสนูปถัมภก ฉบับพิเศษ หน้า 6
const_2534b_s_8,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,2,พระมหากษัตริย์,8,content,,,content,พระมหากษัตริย์ทรงดำรงตำแหน่งจอมทัพไทย
const_2534b_s_9,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,2,พระมหากษัตริย์,9,content,,,content,พระมหากษัตริย์ทรงไว้ซึ่งพระราชอำนาจที่จะสถาปนา ฐานันดรศักดิ์ และพระราชทานเครื่องราชอิสริยาภรณ์
const_2534b_s_10,const_2534b,full,2534,1991,Constitution 2534,modern_democracy,military,,2,พระมหากษัตริย์,10,content,,,content,พระมหากษัตริย์ทรงเลือกและแต่งตั้งผู้ทรงคุณวุฒิ เป็นประธานองคมนตรีคนหนึ่ง และองคมนตรีอื่นอีกไม่เกินสิบแปดคน ประกอบเป็นคณะองคมนตรี คณะองคมนตรีมีหน้าที่ถวายความเห็นต่อพระมหากษัตริย์ใน พระราชกรณียกิจทั้งปวงที่พระมหากษัตริย์ทรงปรึกษา และมีหน้าที่อื่น ตามที่บัญญัติในรัฐธรรมนูญนี้
