section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2539_s_1,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,1,wrapper,,,meta,"รัฐธรรมนูญนี้เรียกว่า ""รัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม (ฉบับที่ 6) พุทธศักราช 2539"""
const_2539_s_2,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,2,wrapper,,,meta,รัฐธรรมนูญนี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศใน ราชกิจจานุเบกษาเป็นต้นไป
const_2539_s_3,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,3,wrapper,,160.0,new,"ให้เพิ่มความต่อไปนี้เป็น (15) (16) และ (17) ของมาตรา 160 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย พุทธศักราช 2534 ซึ่งแก้ไขเพิ่มเติมโดยรัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม (ฉบับที่ 5) พุทธศักราช 2538 ""(15) การดำเนินการเลือกตั้งสมาชิกสภาร่างรัฐธรรมนูญ ตามมาตรา 211 อัฏฐ และมาตรา 211 ทศ วรรคสาม (16) การให้ความเห็นชอบร่างรัฐธรรมนูญตามมาตรา 211 ปัณรส วรรคสาม (17) การให้ความเห็นชอบญัตติให้มีการจัดทำรัฐธรรมนูญ ฉบับใหม่ตามมาตรา 211 เอกนวีสดิ"""
const_2539_s_4,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,4,wrapper,,211.0,new,"ให้เพิ่มความต่อไปนี้เป็นหมวด 12 การจัดทำรัฐธรรมนูญ ฉบับใหม่ มาตรา 211 ทวิ ถึงมาตรา 211 เอกนวีสดิ ของรัฐธรรมนูญ แห่งราชอาณาจักรไทย พุทธศักราช 2534 ซึ่งแก้ไขเพิ่มเติมโดยรัฐธรรมนูญ แห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม (ฉบับที่ 5) พุทธศักราช 2538 ""หมวด 12 การจัดทำรัฐธรรมนูญฉบับใหม่"
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,ทวิ ให้มีสภาร่างรัฐธรรมนูญ ทำหน้าที่จัดทำร่าง รัฐธรรมนูญฉบับใหม่ตามหมวดนี้ ประกอบด้วยสมาชิก ดังต่อไปนี้ (1) สมาชิกซึ่งรัฐสภาเลือกตั้งจากผู้สมัครรับเลือกตั้ง ตามมาตรา 211 ให้ได้จังหวัดละหนึ่งคน (2) สมาชิกซึ่งรัฐสภาเลือกตั้งจากผู้เชี่ยวชาญ หรือผู้มีประสบการณ์ จำนวนยี่สิบสามคน ดังต่อไปนี้ (ก) ผู้เชี่ยวชาญสาขากฎหมายมหาชน จำนวน แปดคน (ข) ผู้เชี่ยวชาญสาขารัฐศาสตร์หรือรัฐประศาสน ศาสตร์ จำนวนแปดคน (ค) ผู้มีประสบการณ์ด้านการเมือง การบริหาร ราชการแผ่นดินหรือการร่างรัฐธรรมนูญ ตามหลักเกณฑ์ที่ประธานรัฐสภา กำหนด จำนวนเจ็ดคน
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,ตรี บุคคลผู้มีสิทธิสมัครรับเลือกตั้งเป็นสมาชิกสภา ร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (1) ต้องมีคุณสมบัติ ดังต่อไปนี้ (1) มีสัญชาติไทยโดยการเกิด (2) มีอายุไม่ต่ำกว่าสามสิบห้าปีบริบูรณ์ในวันเลือกตั้ง (3) สำเร็จการศึกษาไม่ต่ำกว่าชั้นปริญญาตรีหรือ เทียบเท่า (4) มีชื่ออยู่ในทะเบียนบ้านในจังหวัดที่สมัครรับ เลือกตั้งมาแล้วเป็นเวลาติดต่อกันไม่น้อยกว่าหนึ่งปีนับถึงวันสมัครรับเลือกตั้ง หรือเกิดในจังหวัดที่สมัครรับเลือกตั้ง
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,จัตวา บุคคลซึ่งมีลักษณะต้องห้ามมิให้ใช้สิทธิสมัครรับเลือกตั้งเป็นสมาชิกสภาร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (1) ได้แก่บุคคลซึ่งมีลักษณะดังต่อไปนี้ (1) เป็นบุคคลซึ่งมีลักษณะต้องห้ามมิให้ใช้สิทธิสมัครรับเลือกตั้งเป็นสมาชิกสภาผู้แทนราษฎรตามมาตรา 113 (1) (2) (3) (4) (5) (6) (7) (8) (10) และ (12) (2) เป็นสมาชิกวุฒิสภา สมาชิกสภาผู้แทนราษฎรหรือข้าราชการการเมือง (3) เป็นข้าราชการซึ่งมีตำแหน่งหรือเงินเดือนประจำ (4) เป็นพนักงานหรือลูกจ้างของหน่วยงานของรัฐหรือรัฐวิสาหกิจ หรือของราชการส่วนท้องถิ่น
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,เบญจ สมาชิกสภาร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (2) ต้องมีคุณสมบัติตามมาตรา 211 ตรี (1) (2) และ (3) และไม่มีลักษณะต้องห้ามตามมาตรา 211 จัตวา (1) และ (2)
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,ฉ ให้มีการเลือกตั้งสมาชิกสภาร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (1) ภายในเก้าสิบวันนับแต่วันที่มีเหตุแห่งการจัดทำรัฐธรรมนูญฉบับใหม่ตามหมวดนี้ ผู้ใดประสงค์จะสมัครรับเลือกตั้งเป็นสมาชิกสภาร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (1) ให้ยื่นใบสมัครพร้อมด้วยหลักฐานต่อผู้ว่าราชการจังหวัดที่ตนมีภูมิลำเนาหรือที่ตนเกิด ตามแบบและภายในกำหนดวันและเวลาที่กำหนดโดยพระราชกฤษฎีกาซึ่งต้องกำหนดวันรับสมัครให้เป็นวันเดียวกันทั่วราชอาณาจักร เมื่อผู้ว่าราชการจังหวัดตรวจคุณสมบัติของผู้สมัครรับเลือกตั้งและเห็นว่าถูกต้องแล้ว ในกรณีที่มีผู้สมัครรับเลือกตั้งไม่เกินสิบคนให้ส่งรายชื่อของผู้สมัครรับเลือกตั้งไปยังประธานรัฐสภาเพื่อดำเนินการต่อไป แต่ในกรณีที่มีผู้สมัครรับเลือกตั้งเกินสิบคน ให้ผู้ว่าราชการจังหวัดจัดให้มีการประชุมพร้อมกันระหว่างผู้สมัครรับเลือกตั้ง เพื่อลงคะแนนเลือกตั้งกันเองโดยลงคะแนนลับ และผู้สมัครแต่ละคนให้มีสิทธิลงคะแนนเลือกผู้สมัครด้วยกันเองได้คนละไม่เกินสามคน ให้ผู้ว่าราชการจังหวัดส่งรายชื่อพร้อมด้วยเอกสารหลักฐานของผู้สมัครรับเลือกตั้งที่ได้คะแนนสูงสุด ลำดับที่หนึ่งถึงลำดับที่สิบไปยังประธานรัฐสภา เพื่อดำเนินการต่อไป ในกรณีที่มีผู้ได้รับคะแนนเท่ากันอันเป็นเหตุให้มีจำนวนเกินสิบคน ให้ผู้ว่าราชการจังหวัดจัดให้มีการลงคะแนนใหม่ เฉพาะผู้ที่ได้รับคะแนนเท่ากันนั้น เพื่อให้ได้ผู้สมัครที่มีคะแนนสูงสุดจำนวนสิบคน ทั้งนี้ ให้ผู้ว่าราชการจังหวัดดำเนินการให้แล้วเสร็จและส่งรายชื่อผู้สมัครรับเลือกตั้งให้ประธานรัฐสภาภายในห้าวันนับแต่วันที่พ้นกำหนดวันรับสมัครเลือกตั้ง ให้ประธานรัฐสภาจัดทำบัญชีรายชื่อที่ได้รับจากผู้ว่าราชการจังหวัดทุกจังหวัด โดยแยกเป็นรายชื่อของแต่ละจังหวัด และให้เรียงรายชื่อของผู้สมัครรับเลือกตั้งของแต่ละจังหวัดตามลำดับอักษร เพื่อดำเนินการต่อไปตามมาตรา 211 อัฏฐ
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,สัตต ให้สภาสถาบันอุดมศึกษาที่มีการให้ปริญญาในสาขาวิชานิติศาสตร์ รัฐศาสตร์ หรือรัฐประศาสนศาสตร์แต่ละแห่ง คัดเลือกบุคคลซึ่งมีคุณสมบัติที่จะเป็นสมาชิกสภาร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (2) ในประเภทต่าง ๆ ตามมาตรา 211 ทวิ (2) (ก) (ข) และ (ค) ประเภทละไม่เกินห้าคน โดยจัดทำเป็นบัญชีรายชื่อของแต่ละประเภท พร้อมทั้งรายละเอียดตามที่ประธานรัฐสภากำหนด และส่งให้ประธานรัฐสภาภายในห้าวันนับแต่วันพ้นกำหนดวันรับสมัครเลือกตั้งตามมาตรา 211 ฉ และให้ประธานรัฐสภาจัดทำบัญชีรายชื่อของบุคคลที่สภาสถาบันอุดมศึกษาต่างๆ ส่งมาแยกเป็นประเภทแต่ละบัญชีโดยให้เรียงรายชื่อตามลำดับอักษร
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,อัฏฐ เมื่อประธานรัฐสภาจัดทำบัญชีรายชื่อตามมาตรา 211 ฉ วรรคหก และได้รับบัญชีรายชื่อบุคคลตามมาตรา 211 สัตต แล้ว ให้จัดให้มีการประชุมร่วมกันของรัฐสภาภายในสิบวันนับแต่วันที่ได้รับบัญชีรายชื่อครบถ้วน ให้สมาชิกวุฒิสภาและสมาชิกสภาผู้แทนราษฎรลงคะแนนเลือกตั้งผู้สมัครจากบัญชีรายชื่อจากจังหวัดต่าง ๆ จังหวัดละหนึ่งคน และเลือกตั้งบุคคลจากบัญชีรายชื่อที่สภาสถาบันอุดมศึกษาส่งมาตามจำนวนแต่ละประเภท ตามจำนวนที่กำหนดในมาตรา 211 ทวิ (2) การลงคะแนนดังกล่าวให้กระทำเป็นการลับ ให้ผู้ได้รับเลือกตั้งจากแต่ละจังหวัดและผู้เชี่ยวชาญหรือผู้มีประสบการณ์ ซึ่งได้คะแนนสูงสุดตามลำดับตามจำนวนที่กำหนดไว้ในมาตรา 211 ทวิ เป็นผู้ได้รับเลือกตั้งเป็นสมาชิกสภาร่างรัฐธรรมนูญ ในกรณีที่มีผู้ได้คะแนน เท่ากันในลำดับใดอันเป็นเหตุให้จะมีจำนวนผู้ได้รับคะแนนสูงสุดเกินจำนวน ดังกล่าว ให้ดำเนินการลงคะแนนใหม่เฉพาะผู้ได้รับคะแนนเท่ากันนั้น ถ้ายังมีคะแนนเท่ากันอีก ให้ประธานรัฐสภาทำการจับสลากว่าผู้ใดเป็นผู้ได้ รับเลือกตั้ง ในกรณีที่มีปัญหาเกี่ยวกับการสมัครรับเลือกตั้งและการเลือกตั้งสมาชิก สภาร่างรัฐธรรมนูญตามหมวดนี้ ให้ประธานรัฐสภากำหนดหลักเกณฑ์ และวิธีการเพื่อวินิจฉัยปัญหาดังกล่าว ให้ประธานรัฐสภาประกาศรายชื่อผู้ได้รับเลือกตั้งเป็นสมาชิกสภาร่าง รัฐธรรมนูญในราชกิจจานุเบกษา
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,นว ในกรณีที่รัฐสภาจะต้องดำเนินการใดตามหมวดนี้ ในระหว่างปิดสมัยประชุมรัฐสภา ให้ประธานรัฐสภานำความกราบบังคมทูล เพื่อมีพระบรมราชโองการเรียกประชุมรัฐสภาเป็นการประชุมสมัยวิสามัญ และให้ประธานรัฐสภาเป็นผู้ลงนามรับสนองพระบรมราชโองการ แต่ถ้าอายุ ของสภาผู้แทนราษฎรสิ้นสุดลงหรือมีการยุบสภาผู้แทนราษฎรและมีกรณี ที่รัฐสภาจะต้องดำเนินการใดภายในระยะเวลาที่กำหนดตามหมวดนี้ มิให้นับ ระยะเวลาตั้งแต่วันที่อายุของสภาผู้แทนราษฎรสิ้นสุดลงหรือมีการยุบสภา ผู้แทนราษฎร แล้วแต่กรณี จนถึงวันประชุมสภาผู้แทนราษฎรครั้งแรก ภายหลังจากมีพระบรมราชโองการโปรดเกล้า ฯ แต่งตั้งประธานสภาผู้แทน ราษฎร รวมเข้าในระยะเวลาที่รัฐสภาจะต้องดำเนินการ
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,ทศ สมาชิกภาพของสมาชิกสภาร่างรัฐธรรมนูญ ตามมาตรา 211 ทวิ (1) หรือ (2) เริ่มตั้งแต่วันได้รับเลือกตั้งจากรัฐสภา สมาชิกภาพของสมาชิกสภาร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (1) หรือ (2) สิ้นสุดลง เมื่อ (1) สภาร่างรัฐธรรมนูญสิ้นสุดลงตามมาตรา 211 อัฏฐารส (2) ตาย (3) ลาออก (4) ขาดคุณสมบัติตามมาตรา 211 ตรี หรือมีลักษณะต้องห้ามตามมาตรา 211 จัตวา หรือตามมาตรา 211 เบญจแล้วแต่กรณี เมื่อตำแหน่งสมาชิกสภาร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (1) หรือ (2) ว่างลงเพราะเหตุอื่นใดนอกจากถึงคราวออกตามมาตรา 211 อัฏฐารส ให้รัฐสภาดำเนินการเลือกตั้งสมาชิกสภาร่างรัฐธรรมนูญขึ้นแทนตำแหน่งที่ว่างภายในกำหนดเวลาสามสิบวันจากบัญชีรายชื่อผู้สมัครรับเลือกตั้งที่ประธานรัฐสภาจัดทำตามมาตรา 211 ฉ วรรคหก หรือตามมาตรา 211 สัตต เว้นแต่ระยะเวลาการจัดทำร่างรัฐธรรมนูญของสภาร่างรัฐธรรมนูญตามมาตรา 211 เตรส จะเหลือไม่ถึงเก้าสิบวัน ในกรณีที่สมาชิกสภาร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (1) ที่รัฐสภาเลือกตั้งจากผู้สมัครรับเลือกตั้งของจังหวัดใดว่างลงและไม่มีรายชื่อผู้สมัครรับเลือกตั้งรายอื่นในบัญชีรายชื่อผู้สมัครรับเลือกตั้งของจังหวัดนั้นแล้ว หรือในกรณีที่สมาชิกสภาร่างรัฐธรรมนูญตามมาตรา 211 ทวิ (2) (ก) (ข) หรือ (ค) ประเภทใดประเภทหนึ่งว่างลง และไม่มีรายชื่อผู้เชี่ยวชาญ หรือผู้มีประสบการณ์ตามบัญชีรายชื่อในประเภทที่ว่างลงนั้นแล้ว ให้สภา ร่างรัฐธรรมนูญปฏิบัติหน้าที่ได้ต่อไปโดยไม่ต้องดำเนินการเลือกตั้งแทน ตำแหน่งที่ว่างนั้น แต่ทั้งนี้สภาร่างรัฐธรรมนูญจะต้องมีจำนวนสมาชิก เหลืออยู่ไม่น้อยกว่ากึ่งหนึ่งของจำนวนสมาชิกตามมาตรา 211 ทวิ (1) และ (2)
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,เอกาทศ สภาร่างรัฐธรรมนูญ มีประธานสภาร่าง รัฐธรรมนูญคนหนึ่งและรองประธานคนหนึ่งหรือสองคน ซึ่งพระมหากษัตริย์ ทรงแต่งตั้งจากสมาชิกแห่งสภาร่างรัฐธรรมนูญตามมติของสภาร่างรัฐธรรมนูญ และให้ประธานรัฐสภาเป็นผู้ลงนามรับสนองพระบรมราชโองการ ประธานสภาร่างรัฐธรรมนูญมีอำนาจหน้าที่ดำเนินกิจการของสภา ร่างรัฐธรรมนูญตามหมวดนี้ รองประธานมีอำนาจหน้าที่ตามที่ประธาน มอบหมาย และปฏิบัติหน้าที่แทนประธานเมื่อประธานไม่อยู่หรือไม่สามารถ ปฏิบัติหน้าที่ได้ เมื่อประธานและรองประธานไม่อยู่ในที่ประชุม ให้สมาชิกแห่งสภา ร่างรัฐธรรมนูญเลือกตั้งกันขึ้นเองเป็นประธานในคราวประชุมนั้น
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,ทวาทศ เงินประจำตำแหน่งและประโยชน์ตอบแทน อย่างอื่นของประธานและรองประธานสภาร่างรัฐธรรมนูญ สมาชิกสภาร่าง รัฐธรรมนูญและกรรมาธิการที่สภาร่างรัฐธรรมนูญแต่งตั้ง ให้เป็นไปตามที่ กำหนดโดยพระราชกฤษฎีกา
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,เตรส สภาร่างรัฐธรรมนูญจะต้องจัดทำร่างรัฐธรรมนูญ ให้แล้วเสร็จภายในกำหนดเวลาสองร้อยสี่สิบวันนับแต่วันที่มีสมาชิกสภา ร่างรัฐธรรมนูญครบจำนวนตามมาตรา 211 ทวิ การที่สภาผู้แทนราษฎรสิ้นอายุหรือมีการยุบสภาผู้แทนราษฎรไม่เป็นเหตุกระทบกระเทือนการปฏิบัติหน้าที่ของสภาร่างรัฐธรรมนูญตามวรรคหนึ่ง ในการจัดทำร่างรัฐธรรมนูญ สภาร่างรัฐธรรมนูญต้องคำนึงถึงความคิดเห็นของประชาชนเป็นสำคัญ ร่างรัฐธรรมนูญที่มีผลเป็นการเปลี่ยนแปลงการปกครองระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุขหรือเปลี่ยนแปลงรูปของรัฐจะกระทำมิได้ ในกรณีที่รัฐสภาวินิจฉัยว่าร่างรัฐธรรมนูญมีลักษณะตามวรรคสี่ ให้ร่างรัฐธรรมนูญเป็นอันตกไป
const_2539_s_211,const_2539,amendment,2539,1996,Constitution 2539,modern_democracy,civilian,const_2534b,0,,211,wrapper,,,content,จตุทศ วิธีการพิจารณาและจัดทำร่างรัฐธรรมนูญ การประชุม การลงมติ การแต่งตั้งกรรมาธิการและการดำเนินการของกรรมาธิการ การรักษาระเบียบและความเรียบร้อย และกิจการอื่นเพื่อดำเนินการตามบทบัญญัติของหมวดนี้ ให้ใช้ข้อบังคับการประชุมของรัฐสภาโดยอนุโลม ในระหว่างที่ยังไม่มีข้อบังคับการประชุมของรัฐสภา ให้ใช้ข้อบังคับการประชุมของสภาผู้แทนราษฎรโดยอนุโลมไปพลางก่อน ให้นำบทบัญญัติมาตรา 129 และมาตรา 130 มาใช้กับการประชุมของสภาร่างรัฐธรรมนูญโดยอนุโลม เอกสิทธิ์ที่บัญญัติไว้ในมาตรา 131 และมาตรา 132 และความคุ้มกันที่บัญญัติไว้ในมาตรา 139 มาตรา 140 และมาตรา 141 ให้นำมาใช้บังคับกับการประชุมของสมาชิกสภาร่างรัฐธรรมนูญและกรรมาธิการโดยอนุโลม
