section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2554a_s_1,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,1,wrapper,,,meta,รัฐธรรมนูญนี้เรียกว่า “รัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม (ฉบับที่ 1) พุทธศักราช 2554”
const_2554a_s_2,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,2,wrapper,,,meta,รัฐธรรมนูญนี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจจานุเบกษาเป็นต้นไป
const_2554a_s_3,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,3,wrapper,,93.0,amended,ให้ยกเลิกความในมาตรา 93 มาตรา 94 มาตรา 95 มาตรา 96 มาตรา 97 และมาตรา 98 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย และให้ใช้ความต่อไปนี้แทน “มาตรา 93 สภาผู้แทนราษฎรประกอบด้วยสมาชิกจํานวนห้าร้อยคน โดยเป็นสมาชิกซึ่งมาจาก การเลือกตั้งแบบแบ่งเขตเลือกตั้งจํานวนสามร้อยเจ็ดสิบห้าคน และสมาชิกซึ่งมาจากการเลือกตั้งแบบบัญชี รายชื่อจํานวนหนึ่งร้อยยี่สิบห้าคน การเลือกตั้งสมาชิกสภาผู้แทนราษฎรให้ใช้วิธีออกเสียงลงคะแนนโดยตรงและลับโดยให้ใช้บัตร เลือกตั้งสมาชิกสภาผู้แทนราษฎรแบบละหนึ่งใบ เล่ม 128 ตอนที่ 13 ก 4 มีนาคม 2554 หลักเกณฑ์และวิธีการการเลือกตั้งสมาชิกสภาผู้แทนราษฎรให้เป็นไปตามพระราชบัญญัติ ประกอบรัฐธรรมนูญว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎรและการได้มาซึ่งสมาชิกวุฒิสภา ในกรณีที่ตําแหน่งสมาชิกสภาผู้แทนราษฎรว่างลงไม่ว่าด้วยเหตุใด และยังไม่มีการเลือกตั้ง สมาชิกสภาผู้แทนราษฎรขึ้นแทนตําแหน่งที่ว่าง ให้สภาผู้แทนราษฎรประกอบด้วยสมาชิกสภาผู้แทน ราษฎรเท่าที่มีอยู่ ภายใต้บังคับมาตรา 109 (2) ในกรณีที่มีเหตุใด ๆ ทําให้ในระหว่างอายุของสภาผู้แทนราษฎร มีสมาชิกซึ่งได้รับการเลือกตั้งแบบบัญชีรายชื่อมีจํานวนไม่ถึงหนึ่งร้อยยี่สิบห้าคน ให้สมาชิกซึ่งมาจากการ เลือกตั้งแบบบัญชีรายชื่อประกอบด้วยสมาชิกเท่าที่มีอยู่ ในกรณีที่มีเหตุการณ์ใด ๆ ทําให้การเลือกตั้งทั่วไปครั้งใดมีจํานวนสมาชิกสภาผู้แทนราษฎร ไม่ถึงห้าร้อยคน แต่มีจํานวนไม่น้อยกว่าร้อยละเก้าสิบห้าของจํานวนสมาชิกสภาผู้แทนราษฎรทั้งหมด ให้ถือว่าสมาชิกจํานวนนั้นประกอบเป็นสภาผู้แทนราษฎร แต่ต้องดําเนินการให้มีสมาชิกสภาผู้แทนราษฎร ให้ครบตามจํานวนที่บัญญัติไว้ในรัฐธรรมนูญนี้ภายในหนึ่งร้อยแปดสิบวันและให้อยู่ในตําแหน่งได้เพียงเท่าอายุ ของสภาผู้แทนราษฎรที่เหลืออยู่
const_2554a_s_94,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,94,wrapper,,,content,การเลือกตั้งสมาชิกสภาผู้แทนราษฎรซึ่งมาจากการเลือกตั้งแบบแบ่งเขตเลือกตั้ง ให้ผู้มีสิทธิเลือกตั้งออกเสียงลงคะแนนเลือกตั้งผู้สมัครรับเลือกตั้งได้เขตละหนึ่งคน การคํานวณเกณฑ์จํานวนราษฎรต่อสมาชิกหนึ่งคน ให้คํานวณจากจํานวนราษฎรทั้งประเทศ ตามหลักฐานการทะเบียนราษฎรที่ประกาศในปีสุดท้ายก่อนปีที่มีการเลือกตั้งเฉลี่ยด้วยจํานวน สมาชิกสภาผู้แทนราษฎรสามร้อยเจ็ดสิบห้าคน จํานวนสมาชิกสภาผู้แทนราษฎรที่แต่ละจังหวัดจะพึงมี ให้นําจํานวนราษฎรต่อสมาชิกหนึ่งคน ที่คํานวณได้ตามวรรคสองมาเฉลี่ยจํานวนราษฎรในจังหวัดนั้น จังหวัดใดมีราษฎรไม่ถึงเกณฑ์จํานวนราษฎร ต่อสมาชิกหนึ่งคนตามวรรคสอง ให้มีสมาชิกสภาผู้แทนราษฎรในจังหวัดนั้นได้หนึ่งคน จังหวัดใดมีราษฎร เกินเกณฑ์จํานวนราษฎรต่อสมาชิกหนึ่งคน ให้มีสมาชิกสภาผู้แทนราษฎรในจังหวัดนั้นเพิ่มขึ้นอีกหนึ่งคน ทุกจํานวนราษฎรที่ถึงเกณฑ์จํานวนราษฎรต่อสมาชิกหนึ่งคน เมื่อได้จํานวนสมาชิกสภาผู้แทนราษฎรของแต่ละจังหวัดตามวรรคสามแล้ว ถ้าจํานวน สมาชิกสภาผู้แทนราษฎรยังไม่ครบสามร้อยเจ็ดสิบห้าคน จังหวัดใดมีเศษที่เหลือจากการคํานวณตาม วรรคสามมากที่สุด ให้จังหวัดนั้นมีสมาชิกสภาผู้แทนราษฎรเพิ่มขึ้นอีกหนึ่งคน และให้เพิ่มสมาชิกสภาผู้แทน ราษฎรตามวิธีการดังกล่าวแก่จังหวัดที่มีเศษที่เหลือจากการคํานวณตามวรรคสามในลําดับรองลงมา ตามลําดับจนครบจํานวนสามร้อยเจ็ดสิบห้าคน เล่ม 128 ตอนที่ 13 ก 4 มีนาคม 2554 จังหวัดใดมีการเลือกตั้งสมาชิกสภาผู้แทนราษฎรได้ไม่เกินหนึ่งคน ให้ถือเขตจังหวัดเป็นเขต เลือกตั้ง และจังหวัดใดมีการเลือกตั้งสมาชิกสภาผู้แทนราษฎรได้เกินหนึ่งคน ให้แบ่งเขตจังหวัดออกเป็น เขตเลือกตั้งมีจํานวนเท่าจํานวนสมาชิกสภาผู้แทนราษฎรที่พึงมี โดยจัดให้แต่ละเขตเลือกตั้งมีจํานวน สมาชิกสภาผู้แทนราษฎรหนึ่งคน และในกรณีที่จังหวัดใดมีการแบ่งเขตเลือกตั้งมากกว่าหนึ่งเขต ต้องแบ่ง พื้นที่ของเขตเลือกตั้งแต่ละเขตให้ติดต่อกัน และต้องให้จํานวนราษฎรในแต่ละเขตใกล้เคียงกัน ให้ดําเนินการนับคะแนนที่หน่วยเลือกตั้ง และให้ส่งผลการนับคะแนนของหน่วยเลือกตั้งนั้น ไปรวมที่เขตเลือกตั้ง เพื่อนับคะแนนรวม แล้วให้ประกาศผลการนับคะแนนโดยเปิดเผย ณ สถานที่แห่งใด แห่งหนึ่งแต่เพียงแห่งเดียวในเขตเลือกตั้งนั้นตามที่คณะกรรมการการเลือกตั้งกําหนด เว้นแต่เป็นกรณีที่มี ความจําเป็นเฉพาะท้องที่ คณะกรรมการการเลือกตั้งจะกําหนดให้นับคะแนน รวมผลการนับคะแนน และ ประกาศผลการนับคะแนนเป็นอย่างอื่นก็ได้ ทั้งนี้ ตามที่บัญญัติไว้ในพระราชบัญญัติประกอบรัฐธรรมนูญ ว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎรและการได้มาซึ่งสมาชิกวุฒิสภา
const_2554a_s_95,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,95,wrapper,,,content,การเลือกตั้งสมาชิกสภาผู้แทนราษฎรแบบบัญชีรายชื่อ ให้ผู้มีสิทธิเลือกตั้งมีสิทธิ ออกเสียงลงคะแนนเลือกบัญชีรายชื่อผู้สมัครรับเลือกตั้งที่พรรคการเมืองจัดทําขึ้น โดยให้ผู้มีสิทธิเลือกตั้ง มีสิทธิออกเสียงลงคะแนนเลือกบัญชีรายชื่อใดบัญชีรายชื่อหนึ่งเพียงบัญชีเดียว และให้ถือเขตประเทศเป็น เขตเลือกตั้ง
const_2554a_s_96,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,96,wrapper,,,content,บัญชีรายชื่อผู้สมัครรับเลือกตั้งตามมาตรา 95 ให้พรรคการเมืองจัดทําขึ้น พรรคการเมืองละหนึ่งบัญชี ไม่เกินบัญชีละหนึ่งร้อยยี่สิบห้าคน และให้ยื่นต่อคณะกรรมการการเลือกตั้ง ก่อนวันเปิดสมัครรับเลือกตั้งสมาชิกซึ่งมาจากการเลือกตั้งแบบแบ่งเขตเลือกตั้ง บัญชีรายชื่อผู้สมัครรับเลือกตั้งของพรรคการเมืองใดที่ได้ยื่นไว้แล้ว ถ้าปรากฏว่าก่อนหรือในวัน เลือกตั้งมีเหตุไม่ว่าด้วยประการใดที่มีผลทําให้บัญชีรายชื่อของพรรคการเมืองนั้นมีจํานวนผู้สมัครรับ เลือกตั้งแบบบัญชีรายชื่อไม่ครบตามจํานวนที่พรรคการเมืองนั้นได้ยื่นไว้ ให้ถือว่าบัญชีรายชื่อของ พรรคการเมืองนั้นมีจํานวนผู้สมัครรับเลือกตั้งแบบบัญชีรายชื่อเท่าที่มีอยู่ และในกรณีนี้ให้ถือว่า สภาผู้แทนราษฎรประกอบด้วยสมาชิกสภาผู้แทนราษฎรเท่าที่มีอยู่
const_2554a_s_97,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,97,wrapper,,,content,การจัดทําบัญชีผู้รับสมัครรับเลือกตั้งของพรรคการเมืองสําหรับการเลือกตั้ง สมาชิกสภาผู้แทนราษฎรแบบบัญชีรายชื่อ ให้ดําเนินการดังต่อไปนี้ (1) บัญชีรายชื่อผู้สมัครรับเลือกตั้งต้องประกอบด้วยรายชื่อผู้สมัครรับเลือกตั้งจากภูมิภาคต่าง ๆ อย่างเป็นธรรม และต้องคํานึงถึงโอกาส สัดส่วนที่เหมาะสมและความเท่าเทียมกันระหว่างหญิงและชาย เล่ม 128 ตอนที่ 13 ก 4 มีนาคม 2554 (2) รายชื่อในบัญชีต้องไม่ซ้ํากับบัญชีรายชื่อที่พรรคการเมืองอื่นจัดทําขึ้น และไม่ซ้ํากับรายชื่อ ของผู้สมัครรับเลือกตั้งแบบแบ่งเขตเลือกตั้งตามมาตรา 94 และ (3) จัดทํารายชื่อเรียงตามลําดับหมายเลข
const_2554a_s_98,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,98,wrapper,,,content,การคํานวณสัดส่วนผู้สมัครรับเลือกตั้งตามบัญชีรายชื่อของแต่ละพรรคการเมือง ที่จะได้รับเลือกตั้ง ให้นําคะแนนที่แต่ละพรรคการเมืองได้รับการเลือกตั้งมารวมกันทั้งประเทศ แล้วคํานวณเพื่อแบ่งจํานวนผู้ที่จะได้รับเลือกของแต่ละพรรคการเมือง เป็นสัดส่วนที่สัมพันธ์กันโดยตรงกับ จํานวนคะแนนรวมข้างต้น โดยให้ผู้สมัครรับเลือกตั้งซึ่งมีรายชื่อในบัญชีรายชื่อของแต่ละพรรคการเมือง ได้รับเลือกตามเกณฑ์คะแนนที่คํานวณได้เรียงตามลําดับหมายเลขในบัญชีรายชื่อของพรรคการเมืองนั้น ทั้งนี้ ตามหลักเกณฑ์และวิธีการที่บัญญัติไว้ในพระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการเลือกตั้ง สมาชิกสภาผู้แทนราษฎรและการได้มาซึ่งสมาชิกวุฒิสภา ให้นําบทบัญญัติมาตรา 94 วรรคหก มาใช้บังคับกับการนับคะแนนการเลือกตั้งสมาชิก สภาผู้แทนราษฎรแบบบัญชีรายชื่อด้วยโดยอนุโลม ทั้งนี้ คณะกรรมการการเลือกตั้งอาจกําหนดให้มีการ รวมผลการนับคะแนนเบื้องต้นที่จังหวัดก่อนก็ได้”
const_2554a_s_4,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,4,wrapper,,,content,ให้ยกเลิก (5) ของมาตรา 101 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย
const_2554a_s_5,const_2554a,amendment,2554,2011,Constitution 2554 (No.1),post_coup_2006,civilian,const_2550,0,,5,wrapper,,109.0,amended,ให้ยกเลิกความใน (2) ของมาตรา 109 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย และให้ใช้ความต่อไปนี้แทน “(2) ในกรณีที่เป็นตําแหน่งสมาชิกสภาผู้แทนราษฎรที่มาจากการเลือกตั้งแบบบัญชีรายชื่อ ให้ประธานสภาผู้แทนราษฎรประกาศให้ผู้มีชื่ออยู่ในลําดับถัดไปในบัญชีรายชื่อของพรรคการเมืองนั้น เลื่อนขึ้นมาเป็นสมาชิกสภาผู้แทนราษฎรแทนตําแหน่งที่ว่าง โดยต้องประกาศในราชกิจจานุเบกษาภายใน เจ็ดวันนับแต่วันที่ตําแหน่งนั้นว่างลง เว้นแต่ไม่มีรายชื่อเหลืออยู่ในบัญชีที่จะเลื่อนขึ้นมาแทนตําแหน่งที่ว่าง ให้สมาชิกสภาผู้แทนราษฎรแบบบัญชีรายชื่อประกอบด้วยสมาชิกเท่าที่มีอยู่”
