countersigner_name,positions,document_count,documents
ควง อภัยวงศ์,นายกรัฐมนตรี,2,const_2490b | const_2491a
จอมพล ถนอม กิตติขจร,หัวหน้าคณะปฏิวัติ,1,const_2515
จอมพล ป. พิบูลสงคราม,นายกรัฐมนตรี | ผู้บัญชาการทหารแห่งประเทศไทย,4,const_2485 | const_2490a | const_2491b | const_2495
จอมพล สฤษดิ์ ธนะรัชต์,หัวหน้าคณะปฏิวัติ,1,const_2502
ชวน หลีกภัย,นายกรัฐมนตรี,1,const_2538
นายทวี บุณยเกตุ,ประธานสภาร่างรัฐธรรมนูญ,1,const_2511
บรรหาร ศิลปอาชา,นายกรัฐมนตรี,1,const_2539
ปรีดี พนมยงค์,นายกรัฐมนตรี,1,const_2489
พระยามโนปกรณนิติธาดา,ประธานคณะกรรมการราษฎร,1,const_2475
พลอากาศเอก หะริน หงสกุล,ประธานสภานิติบัญญัติแห่งชาติ,1,const_2521
พลเรือเอก สงัด ชลออยู่,หัวหน้าคณะปฏิรูปการปกครองแผ่นดิน | หัวหน้าคณะปฏิวัติ,2,const_2519 | const_2520
พลเอก ชาติชาย ชุณหะวัณ,นายกรัฐมนตรี,1,const_2532
พลเอก ป. ติณสูลานนท์,นายกรัฐมนตรี,1,const_2528
พลเอก ประยุทธ์ จันทร์โอชา,นายกรัฐมนตรี | หัวหน้าคณะรักษาความสงบแห่งชาติ,3,const_2557 | const_2560 | const_2564
พลเอก สนธิ บุญยรัตกลิน,หัวหน้าคณะปฏิรูปการปกครองในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข,1,const_2549
พลเอก สุนทร คงสมพงษ์,หัวหน้าคณะรักษาความสงบเรียบร้อยแห่งชาติ,1,const_2534a
พันตำรวจโท ทักษิณ ชินวัตร,นายกรัฐมนตรี,1,const_2548
พิบูลสงคราม,นายกรัฐมนตรี,2,const_2482 | const_2483
มีชัย ฤชุพันธุ์,ประธานสภานิติบัญญัติแห่งชาติ,1,const_2550
วันมูหะมัดนอร์ มะทา,ประธานรัฐสภา,1,const_2540
ศรีธรรมาธิเบศ,ประธานวุฒิสภา,1,const_2492
สัญญา ธรรมศักดิ์,นายกรัฐมนตรี,1,const_2518
หม่อมราชวงศ์คึกฤทธิ์ ปราโมช,ประธานสภานิติบัญญัติแห่งชาติ,1,const_2517
อภิสิทธิ์ เวชชาชีวะ,นายกรัฐมนตรี,2,const_2554a | const_2554b
อานันท์ ปันยารชุน,นายกรัฐมนตรี,4,const_2535a | const_2535b | const_2535c | const_2535d
อุกฤษ มงคลนาวิน,ประธานสภานิติบัญญัติแห่งชาติ,1,const_2534b
